2025-05-13 12:27:03,173 - INFO - Starting mesh evaluation for scene: hopsap
2025-05-13 12:27:03,173 - INFO - Loading cameras and images...
2025-05-13 12:27:03,336 - INFO - Loading mesh...
2025-05-13 12:27:21,544 - INFO - Loading point3D.bin from: /home/doan/VA_0223/20250411_Final/Reconstruction_3D/output/ins_ngp/hopsap/temp_colmap/sparse/0/points3D.bin
2025-05-13 12:27:24,012 - INFO - frame_0005.png: PSNR=12.70, SSIM=0.732, LPIPS=0.247
2025-05-13 12:27:26,204 - INFO - frame_0006.png: PSNR=12.70, SSIM=0.733, LPIPS=0.247
2025-05-13 12:27:28,353 - INFO - frame_0004.png: PSNR=12.69, SSIM=0.731, LPIPS=0.247
2025-05-13 12:27:30,103 - INFO - frame_0007.png: PSNR=12.68, SSIM=0.733, LPIPS=0.247
2025-05-13 12:27:31,564 - INFO - frame_0009.png: PSNR=12.67, SSIM=0.734, LPIPS=0.248
2025-05-13 12:27:33,405 - INFO - frame_0001.png: PSNR=12.69, SSIM=0.730, LPIPS=0.253
2025-05-13 12:27:35,615 - INFO - frame_0010.png: PSNR=12.67, SSIM=0.734, LPIPS=0.248
2025-05-13 12:27:37,249 - INFO - frame_0003.png: PSNR=12.70, SSIM=0.731, LPIPS=0.248
2025-05-13 12:27:38,793 - INFO - frame_0008.png: PSNR=12.68, SSIM=0.733, LPIPS=0.249
2025-05-13 12:27:40,562 - INFO - frame_0002.png: PSNR=12.69, SSIM=0.731, LPIPS=0.250
2025-05-13 12:27:43,115 - INFO - frame_0011.png: PSNR=12.67, SSIM=0.735, LPIPS=0.248
2025-05-13 12:27:45,229 - INFO - frame_0000.png: PSNR=12.71, SSIM=0.730, LPIPS=0.251
2025-05-13 12:27:47,405 - INFO - frame_0012.png: PSNR=12.65, SSIM=0.735, LPIPS=0.247
2025-05-13 12:27:49,573 - INFO - frame_0014.png: PSNR=12.66, SSIM=0.736, LPIPS=0.248
2025-05-13 12:27:52,482 - INFO - frame_0016.png: PSNR=12.62, SSIM=0.737, LPIPS=0.247
2025-05-13 12:27:54,813 - INFO - frame_0015.png: PSNR=12.65, SSIM=0.737, LPIPS=0.250
2025-05-13 12:27:56,880 - INFO - frame_0013.png: PSNR=12.64, SSIM=0.736, LPIPS=0.250
2025-05-13 12:27:59,512 - INFO - frame_0021.png: PSNR=12.64, SSIM=0.739, LPIPS=0.247
2025-05-13 12:28:03,092 - INFO - frame_0019.png: PSNR=12.64, SSIM=0.738, LPIPS=0.247
2025-05-13 12:28:05,653 - INFO - frame_0023.png: PSNR=12.61, SSIM=0.739, LPIPS=0.248
2025-05-13 12:28:08,156 - INFO - frame_0022.png: PSNR=12.62, SSIM=0.739, LPIPS=0.249
2025-05-13 12:28:11,430 - INFO - frame_0018.png: PSNR=12.62, SSIM=0.737, LPIPS=0.247
2025-05-13 12:28:14,298 - INFO - frame_0017.png: PSNR=12.63, SSIM=0.737, LPIPS=0.249
2025-05-13 12:28:16,738 - INFO - frame_0020.png: PSNR=12.64, SSIM=0.738, LPIPS=0.245
2025-05-13 12:28:19,481 - INFO - frame_0024.png: PSNR=12.62, SSIM=0.739, LPIPS=0.248
2025-05-13 12:28:22,512 - INFO - frame_0025.png: PSNR=12.61, SSIM=0.738, LPIPS=0.249
2025-05-13 12:28:24,715 - INFO - frame_0026.png: PSNR=12.61, SSIM=0.738, LPIPS=0.249
2025-05-13 12:28:27,304 - INFO - frame_0027.png: PSNR=12.60, SSIM=0.738, LPIPS=0.250
2025-05-13 12:28:30,895 - INFO - frame_0028.png: PSNR=12.60, SSIM=0.737, LPIPS=0.251
2025-05-13 12:28:33,512 - INFO - frame_0029.png: PSNR=12.62, SSIM=0.737, LPIPS=0.251
2025-05-13 12:28:35,920 - INFO - frame_0030.png: PSNR=12.63, SSIM=0.737, LPIPS=0.250
2025-05-13 12:28:38,220 - INFO - frame_0031.png: PSNR=12.62, SSIM=0.737, LPIPS=0.250
2025-05-13 12:28:41,530 - INFO - frame_0034.png: PSNR=12.61, SSIM=0.737, LPIPS=0.248
2025-05-13 12:28:44,203 - INFO - frame_0032.png: PSNR=12.63, SSIM=0.737, LPIPS=0.249
2025-05-13 12:28:46,621 - INFO - frame_0033.png: PSNR=12.61, SSIM=0.737, LPIPS=0.250
2025-05-13 12:28:49,060 - INFO - frame_0035.png: PSNR=12.63, SSIM=0.736, LPIPS=0.249
2025-05-13 12:28:52,698 - INFO - frame_0036.png: PSNR=12.65, SSIM=0.736, LPIPS=0.247
2025-05-13 12:28:55,015 - INFO - frame_0037.png: PSNR=12.66, SSIM=0.736, LPIPS=0.247
2025-05-13 12:28:57,572 - INFO - frame_0039.png: PSNR=12.67, SSIM=0.735, LPIPS=0.246
2025-05-13 12:29:00,842 - INFO - frame_0038.png: PSNR=12.67, SSIM=0.736, LPIPS=0.246
2025-05-13 12:29:03,899 - INFO - frame_0041.png: PSNR=12.66, SSIM=0.734, LPIPS=0.248
2025-05-13 12:29:06,186 - INFO - frame_0040.png: PSNR=12.68, SSIM=0.735, LPIPS=0.247
2025-05-13 12:29:08,610 - INFO - frame_0042.png: PSNR=12.66, SSIM=0.733, LPIPS=0.247
2025-05-13 12:29:12,413 - INFO - frame_0043.png: PSNR=12.66, SSIM=0.733, LPIPS=0.248
2025-05-13 12:29:15,169 - INFO - frame_0044.png: PSNR=12.66, SSIM=0.732, LPIPS=0.248
2025-05-13 12:29:17,615 - INFO - frame_0045.png: PSNR=12.64, SSIM=0.732, LPIPS=0.248
2025-05-13 12:29:20,423 - INFO - frame_0047.png: PSNR=12.65, SSIM=0.730, LPIPS=0.249
2025-05-13 12:29:24,092 - INFO - frame_0046.png: PSNR=12.66, SSIM=0.731, LPIPS=0.249
2025-05-13 12:29:26,482 - INFO - frame_0048.png: PSNR=12.68, SSIM=0.730, LPIPS=0.250
2025-05-13 12:29:29,179 - INFO - frame_0049.png: PSNR=12.68, SSIM=0.729, LPIPS=0.250
2025-05-13 12:29:32,080 - INFO - frame_0051.png: PSNR=12.68, SSIM=0.729, LPIPS=0.252
2025-05-13 12:29:34,740 - INFO - frame_0050.png: PSNR=12.69, SSIM=0.729, LPIPS=0.250
2025-05-13 12:29:36,964 - INFO - frame_0054.png: PSNR=12.67, SSIM=0.727, LPIPS=0.251
2025-05-13 12:29:39,700 - INFO - frame_0052.png: PSNR=12.69, SSIM=0.728, LPIPS=0.252
2025-05-13 12:29:42,548 - INFO - frame_0056.png: PSNR=12.67, SSIM=0.726, LPIPS=0.254
2025-05-13 12:29:45,508 - INFO - frame_0053.png: PSNR=12.69, SSIM=0.728, LPIPS=0.253
2025-05-13 12:29:47,884 - INFO - frame_0055.png: PSNR=12.67, SSIM=0.727, LPIPS=0.253
2025-05-13 12:29:50,297 - INFO - frame_0057.png: PSNR=12.70, SSIM=0.726, LPIPS=0.253
2025-05-13 12:29:53,710 - INFO - frame_0059.png: PSNR=12.70, SSIM=0.726, LPIPS=0.254
2025-05-13 12:29:56,081 - INFO - frame_0058.png: PSNR=12.72, SSIM=0.726, LPIPS=0.253
2025-05-13 12:29:58,489 - INFO - frame_0060.png: PSNR=12.72, SSIM=0.725, LPIPS=0.255
2025-05-13 12:30:01,025 - INFO - frame_0061.png: PSNR=12.69, SSIM=0.725, LPIPS=0.256
2025-05-13 12:30:04,753 - INFO - frame_0062.png: PSNR=12.69, SSIM=0.724, LPIPS=0.256
2025-05-13 12:30:07,439 - INFO - frame_0063.png: PSNR=12.68, SSIM=0.724, LPIPS=0.258
2025-05-13 12:30:10,131 - INFO - frame_0064.png: PSNR=12.68, SSIM=0.723, LPIPS=0.258
2025-05-13 12:30:13,010 - INFO - frame_0065.png: PSNR=12.67, SSIM=0.723, LPIPS=0.258
